,Address,Style,Building Type,Basement Development,Exterior Finish,Fireplace,OwnershipType,Property Type,Bedrooms,Bathrooms,Amenities Nearby,Lot Size,Parking Type,No. of Parking Spaces,Storeys,Floor Area (m^2),Features,Condo Fees,Community Features,Price
251,"25 SQUIREWOOD RD, Toronto, Ontario, M2J 4T2",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+1,2.0,"Public Transit, Schools",37.51 x 121.47 FT ; Irregular,Attached garage,6.0,2.0,77.98,,,Community Centre,"$1,218,000"
252,"6 MADELINE RD, Toronto, Ontario, M2N 2S6",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+1,1.0,,50 x 150 FT,,3.0,2.0,,,,,"$1,198,000"
253,"163 Perth, Toronto, ON, M6P 3X2",Semi-Detached,,Partially finished,Brick,,,,4+1,2.0,"Park, Public Transit, Schools",15.91 x 125 FT,Detached garage,1.0,3.0,100.58,Lane,,,"$1,150,000"
254,"40 JULIET CRES, Toronto, Ontario, M6M 1N6",Detached,House,Finished,"Stone, Stucco",Yes,Freehold,Single Family,3+1,4.0,"Park, Public Transit, Schools",40 x 115 FT ; Irregular Lot As Per Mpac,Detached garage,6.0,2.0,107.52,,,,"$1,149,900"
255,"38 MERRITT RD, Toronto, Ontario, M4B 3K5",Detached,House,Finished,Vinyl,Yes,Freehold,Single Family,4,3.0,,40 x 100 FT,Detached garage,3.0,2.0,137.65999999999997,,,,"$1,149,000"
256,"58 DORVAL RD, Toronto, Ontario, M6P 2B6",Semi-Detached,House,Partially finished,"Brick, Vinyl",Yes,Freehold,Single Family,3,2.0,"Park, Public Transit",18.25 x 95 FT,Detached garage,1.0,2.0,77.28999999999998,,,,"$1,100,000"
257,"162 ROSLIN AVE, Toronto, Ontario, M4N 1Z6",Semi-Detached,House,Partially finished,"Aluminum siding, Brick",,Freehold,Single Family,3,1.0,,29.25 x 50 FT,,1.0,2.0,81.57,,,,"$1,099,000"
258,"38 HARSHAW AVE, Toronto, Ontario, M6S 1Y1",Detached,House,Partially finished,Brick,,Freehold,Single Family,3,2.0,"Hospital, Park, Public Transit",26.5 x 100 FT,,1.0,2.0,,"Cul-de-sac, Ravine",,,"$1,099,000"
259,"46 LOBO MEWS, Toronto, Ontario, M8Z 0B1",Townhouse,Row / Townhouse,,"Brick, Stone",Yes,Freehold,Single Family,3,2.0,,14.04 FT ; Freehold Town With Potl,Garage,2.0,2.0,105.5,,,,"$1,069,000"
260,"109 PICKERING ST, Toronto, Ontario, M4E 3J5",Semi-Detached,House,Finished,Brick,Yes,Freehold,Single Family,3,2.0,"Public Transit, Schools",24.02 x 110 FT,,1.0,2.0,161.05,,,,"$1,049,900"
261,"35 LINCOLN AVE, Toronto, Ontario, M6P 1M7",Semi-Detached,House,Finished,"Stone, Vinyl",,Freehold,Single Family,3,2.0,Public Transit,23.92 x 108 FT,,,2.0,,,,Community Centre,"$1,049,000"
262,"38 FURLONG CRT, Toronto, Ontario, M1J 1Y8",Detached,House,Finished,Stucco,Yes,Freehold,Single Family,3+2,2.0,"Hospital, Park, Public Transit, Schools",45 x 125 FT,Attached garage,2.0,1.0,87.5,,,,"$1,025,000"
263,"164 ROSLIN AVE, Toronto, Ontario, M4N 1Z6",Semi-Detached,House,Unfinished,"Aluminum siding, Brick",,Freehold,Single Family,3,1.0,,29.25 x 50 FT,,1.0,2.0,80.92999999999998,,,,"$999,000"
264,"65 DONALDA CRES, Toronto, Ontario, M1S 1N8",Detached,House,,Brick,Yes,Freehold,Single Family,3+2,2.0,,75 x 120 FT,Attached garage,3.0,1.0,77.54999999999998,,,,"$999,000"
265,"2118 DUNDAS ST E, Toronto, Ontario, M4L 1N1",Townhouse,Row / Townhouse,,Brick,,Freehold,Single Family,3,2.0,"Park, Public Transit, Schools",18.01 x 39.86 FT ; -As Per Mpac & Geo,Attached garage,1.0,3.0,,Lane,,,"$999,000"
266,"8 BOWSPRIT AVE, Toronto, Ontario, M9P 2Y5",Detached,House,,Brick,,Freehold,Single Family,3+1,3.0,,30 x 120 FT,Detached garage,4.0,2.0,98.77,,,,"$999,000"
267,"30 CLINTON ST, Toronto, Ontario, M6J 2P1",Semi-Detached,House,Finished,Vinyl,,Freehold,Single Family,4,3.0,,15.5 x 100 FT,,,2.0,71.54,,,,"$999,000"
268,"345 ROYAL YORK RD, Toronto, Ontario, M8Y 2P8",Townhouse,Row / Townhouse,Finished,Brick,Yes,Freehold,Single Family,3,3.0,,14.76 x 61.42 FT,Garage,2.0,3.0,123.7,,,,"$999,000"
269,"48 ROSSANDER CRT CRT, Toronto, Ontario, M1J 2B7",Detached,House,Partially finished,Brick,Yes,Freehold,Single Family,4,3.0,,40 x 178 FT,Garage,6.0,2.0,106.53,,,,"$949,000"
270,"22 LANGEMARK AVE, Toronto, Ontario, M6J 2A8",Semi-Detached,House,,Brick,,Freehold,Single Family,3,2.0,"Public Transit, Schools",15 x 66 FT,,,2.0,79.72,,,,"$899,900"
271,"87 Jeanette St, Toronto, ON, M1M 3G3",Townhouse,,,,,,,4,4.0,,,,2.0,5.0,120.88,,,,"$899,900"
272,"26 Connaught Ave, Toronto, ON, M4L 2V9",Semi-Detached,,,,,,,3+1,2.0,,,,,4.0,140.09,,,,"$899,000"
273,"143 Silas Hill DR, Toronto, ON, M2J 2X8",Semi-Detached,,,Brick,,,,3+1,2.0,"Hospital, Park, Public Transit, Schools",30 x 120 FT,Garage,4.0,2.0,121.78,,,,"$899,000"
274,"28 BUCKHURST CRES, Toronto, Ontario, M1S 4C4",Semi-Detached,House,Finished,"Aluminum siding, Brick",,Freehold,Single Family,4+2,4.0,Park,30 x 110 FT,Attached garage,4.0,2.0,95.41,,,School Bus,"$859,000"
275,"9 SHEFFER TERR, Toronto, Ontario, M3J 0A9",Semi-Detached,House,Finished,Brick,Yes,Freehold,Single Family,5+3,7.0,"Park, Public Transit, Schools",6.11 x 34.5 M,Detached garage,3.0,2.0,,Lane,,,"$850,000"
276,"14 TINTON CRES, Toronto, Ontario, M9V 2J1",Detached,House,Finished,Brick,,Freehold,Single Family,3+2,3.0,,53 x 111 FT,Attached garage,5.0,1.0,101.99,,,,"$849,000"
277,"104 CLOUSTON AVE, Toronto, Ontario, M9N 1A7",Detached,House,Finished,"Aluminum siding, Brick",,Freehold,Single Family,2+1,2.0,"Park, Public Transit, Schools",40 x 136 FT,Detached garage,4.0,2.0,76.92999999999998,Conservation/green belt,,Community Centre,"$839,900"
278,"59 SHANDON DR, Toronto, Ontario, M1R 4M4",Detached,House,Finished,Brick,,Freehold,Single Family,3+2,2.0,"Park, Public Transit, Schools",40.04 x 125.14 FT,Detached garage,4.0,1.0,,Level lot,,,"$828,000"
279,"173 SHOREHAM DR, Toronto, Ontario, M3N 1T3",Semi-Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+1,3.0,"Public Transit, Schools",29.99 x 143.5 FT,Garage,3.0,1.0,82.92999999999998,,,,"$825,000"
280,"61 KELSONIA AVE, Toronto, Ontario, M1M 1B2",Detached,House,Unfinished,Aluminum siding,,Freehold,Single Family,2,1.0,,50 x 125 FT,Detached garage,3.0,1.0,89.41999999999999,,,,"$799,900"
281,"22 Hilldale Rd, Toronto, ON, M6N 3Y2",Semi-Detached,,,,,,,3+1,2.0,,,,3.0,2.0,81.87,,,,"$799,900"
282,"11 ELDON AVE, Toronto, Ontario, M4C 5G2",Semi-Detached,House,Finished,Stucco,,Freehold,Single Family,2+1,3.0,,14.8 x 129 FT,,2.0,2.0,64.06,,,,"$799,900"
283,"102 DAWES RD, Toronto, Ontario, M4C 5B5",Detached,House,Finished,Brick,,Freehold,Single Family,4+1,2.0,,25.62 x 126.25 FT,Detached garage,6.0,3.0,112.21,,,,"$799,000"
284,"3 GRAYBARK CRES, Toronto, Ontario, M1C 4J1",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+1,4.0,,33.3 x 100.6 FT ; Lot Back 42.59Ft,Attached garage,3.0,2.0,85.30000000000003,,,,"$799,000"
285,"35 WALLINGTON AVE, Toronto, Ontario, M4C 2M7",Detached,House,,Brick,,Freehold,Single Family,2+1,2.0,,27 x 75 FT,,1.0,1.0,68.12,,,,"$768,000"
286,"26 CURRAN HALL CRES, Toronto, Ontario, M1G 0A2",Townhouse,Row / Townhouse,,Brick,,Freehold,Single Family,3+1,4.0,"Hospital, Public Transit, Schools",,Garage,2.0,3.0,,,,Community Centre,"$729,900"
287,"47 HORSELEY HILL DR, Toronto, Ontario, M1B 1W4",Semi-Detached,House,,"Aluminum siding, Brick",,Freehold,Single Family,4+1,3.0,,25.85 x 178.18 FT ; Irregular,,5.0,2.0,,,,,"$699,900"
288,"48 HORSELEY HILL DR, Toronto, Ontario, M1B 1W5",Semi-Detached,House,,"Brick, Vinyl",,Freehold,Single Family,3+3,3.0,"Hospital, Public Transit, Schools",32.25 x 120.76 FT,Carport,4.0,1.0,66.38,,,School Bus,"$699,000"
289,"11 MERRILL AVE W, Toronto, Ontario, M4C 1C4",Detached,House,Partially finished,Vinyl,,Freehold,Single Family,2,2.0,"Park, Public Transit, Schools",20.01 x 120 FT,,1.0,2.0,64.49999999999999,Lane,,Community Centre,"$699,000"
290,"96 BERGEN RD, Toronto, Ontario, M1P 1S2",Semi-Detached,House,,Brick,,Freehold,Single Family,3+1,2.0,"Public Transit, Schools",30 x 100 FT,Detached garage,5.0,2.0,51.67,,,,"$678,000"
291,"250 WELLINGTON Street W Unit# 228, Toronto, Ontario, M5V 3P6",,,,"Concrete, Wood shingles",,,Single Family,1,1.0,"Park, Public Transit, Schools",,"Underground, Visitor parking",1.0,1.0,,"Park setting, Park/reserve, Balcony",,,"$625,000"
292,"160 FLEMINGTON Road Unit# 520, Toronto, Ontario, M6A 0A9",,,,"Other, Stucco",,,Single Family,1,1.0,"Public Transit, Park, Schools",,Underground,1.0,1.0,,"Park setting, Park/reserve, Balcony",,,"$489,900"
293,"3 Donino CRT, Toronto, ON, M4N 2H6",Detached,,Finished,Brick,,,,4+1,5.0,"Park, Public Transit",35 x 177.69 FT ; Widens To 116' At Rear. Depth 194' South,Garage,6.0,2.0,209.40000000000003,"Cul-de-sac, Level lot",,,"$5,380,000"
294,"42 Woodlawn WEST, Toronto, ON, M4V 1G7",Semi-Detached,,Finished,Brick,,,,5,4.0,"Park, Public Transit, Schools",25.16 x 178.58 FT,,2.0,3.0,178.29999999999995,,,,"$3,595,000"
295,"23 SUMMERHILL AVENUE, Toronto, ON, M4T 1A9",Townhouse,,,Brick,,,,2+0,4.0,"Park, Public Transit",,Detached garage,,3.0,,"Park setting, Park/reserve, Wet bar, Skylight",,,"$2,700,000"
296,"31 Glengrove WEST, Toronto, ON, M4R 1N5",Detached,,Finished,Brick,,,,5+1,5.0,"Park, Public Transit, Schools",30 x 165 FT,Detached garage,2.0,3.0,140.08,Level lot,,,"$2,499,000"
297,"149 KENILWORTH AVE, Toronto, Ontario, M4L 3S7",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+1,4.0,"Park, Public Transit, Schools",25 x 95.98 FT,Garage,3.0,2.0,143.42,,,,"$2,298,900"
298,"11 Hillside Dr W, Toronto, ON, M4K 2M1",Detached,,,,,,,3,2.0,,,,3.0,2.0,98.26,,,,"$1,698,800"
299,"131 CHARLTON BLVD, Toronto, Ontario, M2R 2J2",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+4,7.0,"Park, Public Transit, Schools",51 x 120 FT ; Fully Fenced,Attached garage,6.0,2.0,133.62,,,Community Centre,"$1,689,000"
300,"238 Gamble, Toronto, ON, M4J 2P3",Detached,,Finished,"Aluminum siding, Brick",,,,3,2.0,"Park, Public Transit, Schools",22.51 x 150 FT,,2.0,2.0,129.0,Level lot,,,"$1,249,000"
301,"21 Aldwych Ave, Toronto, ON, M4J 1X3",Detached,,,,,,,3+1,2.0,,,,1.0,2.0,71.41,,,,"$1,199,900"
302,"22 LINTHURST AVE, Toronto, Ontario, M3M 1P2",Detached,House,,Brick,Yes,Freehold,Single Family,3+2,3.0,"Park, Schools",60.01 x 102.04 FT,Attached garage,5.0,1.0,74.10999999999999,Conservation/green belt,,,"$1,049,990"
303,"1 GLOS RD, Toronto, Ontario, M9C 2Z8",Detached,House,Finished,Brick,,Freehold,Single Family,4+1,3.0,"Park, Public Transit, Schools",52.59 x 92.5 FT ; 94.27 Ft X 36.28 Ft X 113.84 Ft X 73.00,Attached garage,5.0,6.0,155.64,"Level lot, Wooded area",,,"$999,999"
304,"12 Crewe Ave, Toronto, ON, M4C 2J1",Detached,,,,,,,3+0,1.0,,,,1.0,2.0,84.32,,,,"$939,000"
305,"75 WANDERING TR, Toronto, Ontario, M1X 1K1",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4+3,5.0,"Hospital, Park, Public Transit, Schools",40.03 x 114.83 FT,Attached garage,6.0,2.0,149.71,Ravine,,,"$899,900"
306,"917 VICTORIA PARK AVE, Toronto, Ontario, M4B 2J2",Detached,House,,Aluminum siding,Yes,Freehold,Single Family,2+3,3.0,,50 x 106 FT,,3.0,1.0,,,,,"$899,900"
307,"8 Willowhurst CRES, Toronto, ON, M1R 3R6",Detached,,Finished,Brick,,,,2+2,2.0,"Public Transit, Schools",41.99 x 144 FT,Attached garage,4.0,1.0,53.16,Wooded area,,,"$859,000"
308,"8 Sarah Jackson CRES, Toronto, ON, M3K 0B5",Townhouse,,Finished,"Brick, Concrete",,,,3+1,3.0,"Hospital, Park, Public Transit, Schools",16.37 x 88.47 FT ; 78.68 Ft X 16.39 Ft X 88.47 Ft X13.13 Ft,Garage,1.0,3.0,,,,,"$819,000"
309,"84 BROADOAKS DR, Toronto, Ontario, M3J 1E6",Detached,House,Finished,Brick,,Freehold,Single Family,4,3.0,,49 x 116 FT ; 118.55 Ft X 57.07 Ft,Detached garage,6.0,2.0,73.41999999999999,,,,"$799,000"
310,"370 Beechgrove Dr, Toronto, ON, M1E 4A5",Detached,,,,,,,3,1.0,,,,7.0,1.0,66.33999999999999,,,,"$798,800"
311,"153 Holborne Ave, Toronto, ON, M4C 2R5",Detached,,,,,,,1+1,2.0,,,,2.0,1.0,50.0,,,,"$699,000"
312,"38 EILEEN AVE, Toronto, Ontario, M6N 1V4",Detached,House,Partially finished,Brick,,Freehold,Single Family,2,2.0,"Public Transit, Schools",25.04 x 109.32 FT,,2.0,1.0,45.42,Conservation/green belt,,,"$699,000"
313,"349 RUNNYMEDE RD, Toronto, Ontario, M6S 2Y5",Detached,House,,Brick,Yes,Freehold,Single Family,4+1,4.0,"Park, Public Transit, Schools",30 x 100 FT,Garage,3.0,3.0,151.12,,,,"$1,899,000"
314,"40 Brooklawn Ave, Toronto, ON, M1M 2P4",Detached,,,,,,,4+2,6.0,,,,2.0,2.0,,,,,"$1,749,900"
315,"42 Brooklawn Ave, Toronto, ON, M1M 2P4",Detached,,,,,,,4+1,5.0,,,,2.0,2.0,,,,,"$1,749,900"
316,"58 STUART CRES, Toronto, Ontario, M2N 1A7",Detached,House,,"Stone, Stucco",,Freehold,Single Family,4+1,4.0,"Park, Public Transit, Schools",25 x 198 FT,Garage,3.0,2.0,158.86,Ravine,,,"$1,699,000"
317,"141 BARTON AVE, Toronto, Ontario, M6G 1R1",Detached,House,,"Aluminum siding, Brick",,Freehold,Single Family,3,3.0,"Park, Public Transit",20 x 110 FT,Detached garage,2.0,2.0,82.99,Lane,,,"$1,499,000"
318,"32 BRENHAM CRES, Toronto, Ontario, M2M 2L2",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4+1,3.0,,62.07 x 168.73 FT,Garage,6.0,2.0,129.8,,,,"$1,499,000"
319,"284 COCKSFIELD AVE, Toronto, Ontario, M3H 3T9",Detached,House,,Brick,Yes,Freehold,Single Family,3,3.0,,50 x 120 FT ; As Per Geo Warehouse,Attached garage,6.0,1.0,131.02,,,,"$1,350,000"
320,"202 REINER RD, Toronto, Ontario, M3H 2M1",Detached,House,Finished,Brick,,Freehold,Single Family,2+1,2.0,,50 x 157 FT,,3.0,1.0,55.08,,,,"$1,325,000"
321,"11 SILVER AVE, Toronto, Ontario, M6R 1X9",Townhouse,Row / Townhouse,Finished,"Aluminum siding, Brick",Yes,Freehold,Single Family,3,3.0,"Hospital, Park, Public Transit, Schools",13.58 x 110 FT ; (As Per Mpac) * No Survey *,Carport,2.0,2.0,110.37,Lane,,,"$1,268,000"
322,"1366 DAVENPORT RD, Toronto, Ontario, M6H 2J1",Semi-Detached,House,,"Aluminum siding, Wood",,Freehold,Single Family,2+1,3.0,,17.71 x 91.09 FT,,,2.0,65.22999999999999,,,,"$1,200,000"
323,"1366 DAVENPORT RD, Toronto, Ontario, M6H 2J1",Fourplex,Multi-Family,,,,,Multi-family,,,,17.71 x 91.09 FT,,,,,,,,"$1,200,000"
324,"25 NEILSON AVE, Toronto, Ontario, M1M 2S3",Detached,House,Finished,Aluminum siding,,Freehold,Single Family,2+1,2.0,"Marina, Park, Public Transit, Schools",39.98 x 132.97 FT,,3.0,2.0,53.04,,,,"$965,000"
325,"71 CHRISTINA CRES, Toronto, Ontario, M1R 4H7",Detached,House,Unfinished,Brick,,Freehold,Single Family,3,1.0,"Park, Public Transit, Schools",40 x 125 FT,Detached garage,5.0,1.0,98.97,,,,"$960,000"
326,"317 CHISHOLM AVE, Toronto, Ontario, M4C 4W5",Detached,House,Finished,Brick,,Freehold,Single Family,2+2,3.0,Park,25 x 122.5 FT,Detached garage,3.0,1.0,,Ravine,,,"$899,000"
327,"6 STONECROP LANE, Toronto, Ontario, M9V 3T8",Detached,House,,"Aluminum siding, Brick",,Freehold,Single Family,3+3,4.0,"Hospital, Park, Schools",50 x 110 FT,Detached garage,5.0,1.0,107.3,,,,"$889,900"
328,"27 MIDDEN CRES, Toronto, Ontario, M9R 3L7",Semi-Detached,House,Finished,Brick,,Freehold,Single Family,4,2.0,,37.5 x 121 FT,Carport,3.0,2.0,,,,,"$849,900"
329,"46 BOWHILL CRES, Toronto, Ontario, M2J 3S2",Semi-Detached,House,,Brick,,Freehold,Single Family,3,2.0,,37.68 x 102.84 FT ; Corner Lot,Garage,4.0,1.0,77.65,,,,"$849,000"
330,"91 PETTIBONE SQ, Toronto, Ontario, M1W 2J1",Semi-Detached,House,,"Aluminum siding, Brick",,Freehold,Single Family,4,2.0,Schools,30.03 x 109.6 FT,Attached garage,4.0,2.0,148.98999999999995,,,,"$799,999"
331,"13 HUMBER BLVD, Toronto, Ontario, M6N 2H2",Detached,House,Finished,Brick,,Freehold,Single Family,2+1,2.0,"Park, Public Transit, Schools",20 x 100 FT,Detached garage,2.0,2.0,90.95,Cul-de-sac,,,"$799,000"
332,"20 SELLERS AVE, Toronto, Ontario, M6E 3T5",Semi-Detached,House,,"Aluminum siding, Brick",,Freehold,Single Family,3,2.0,,17.25 x 104 FT,,1.0,2.0,68.3,Lane,,,"$799,000"
333,"34 SENTINEL RD, Toronto, Ontario, M3J 1S9",Semi-Detached,House,Finished,Brick,Yes,Freehold,Single Family,3,2.0,,30.87 x 98.46 FT,Attached garage,7.0,1.0,131.94,,,,"$799,000"
334,"9 DARLINGSIDE DR, Toronto, Ontario, M1E 3N7",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4,2.0,"Park, Public Transit, Schools",45 x 142 FT,Attached garage,4.0,2.0,,,,Community Centre,"$775,000"
335,"1153 BRIMLEY RD, Toronto, Ontario, M1P 3G2",Detached,House,,Brick,,Freehold,Single Family,3+2,2.0,"Park, Public Transit",50 x 100 FT,Carport,3.0,1.0,61.86,,,School Bus,"$770,000"
336,"3 CORNER LANE, Toronto, Ontario, M1K 5M6",Townhouse,Row / Townhouse,Finished,Brick,,Freehold,Single Family,3,2.0,,13.45 x 56.27 FT,Garage,1.0,2.0,,Lane,,,"$699,000"
337,"10 DUNLOE RD, Toronto, Ontario, M4V 2W5",Detached,House,Finished,"Stone, Stucco",Yes,Freehold,Single Family,4,6.0,,46 x 220 FT ; As Per Survey,Garage,7.0,3.0,349.99,,,,"$4,895,000"
338,"8 NEVILLE PARK BLVD, Toronto, Ontario, M4E 3P6",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4+1,4.0,,40 x 120 FT,,4.0,2.0,194.65,,,,"$3,895,000"
339,"342 HORSHAM AVE, Toronto, Ontario, M2R 1G6",Detached,House,Finished,"Stone, Stucco",Yes,Freehold,Single Family,4+2,8.0,,54 x 132 FT,Garage,5.0,2.0,266.97,,,,"$3,398,000"
340,"59 CALLENDER ST, Toronto, Ontario, M6R 2H2",Townhouse,Row / Townhouse,Unfinished,Brick,,Freehold,Single Family,5,2.0,,16.68 x 123.9 FT ; Additional Lot 49.6' X 113.8',Detached garage,2.0,3.0,,Lane,,,"$2,999,000"
341,"33 GLOUCESTER ST, Toronto, Ontario, M4Y 1L8",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4,5.0,"Park, Public Transit, Schools",28 x 101 FT ; Slightly Irregular At Back Of Property,,1.0,3.0,151.74,Lane,,,"$2,995,000"
342,"135 RANEE AVE, Toronto, Ontario, M6A 1N3",Detached,House,Finished,"Brick, Stone",Yes,Freehold,Single Family,5+3,7.0,,54.99 x 132 FT,Garage,5.0,2.0,228.39,,,,"$2,947,000"
343,"27 HI MOUNT DR, Toronto, Ontario, M2K 1X3",Detached,House,Finished,Brick,Yes,Freehold,Single Family,2+2,3.0,,70.01 x 150.53 FT ; 174' East Side!Dimension Per Geowarehous,Attached garage,8.0,1.0,97.12,"Cul-de-sac, Ravine",,,"$2,898,800"
344,"185 LORD SEATON RD, Toronto, Ontario, M2P 1L1",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4+2,4.0,,70 x 120 FT ; Massive 70X120Ft Lot!,Attached garage,4.0,2.0,151.82999999999996,,,,"$2,890,000"
345,"35 MARLBOROUGH AVE, Toronto, Ontario, M5R 1X5",Semi-Detached,House,Finished,Brick,Yes,Freehold,Single Family,3,3.0,"Hospital, Park, Public Transit, Schools",17.72 x 120 FT ; Lot Narrows At The Back By 3 Ft Approx.,Garage,2.0,3.0,148.58,,,,"$2,695,000"
346,"44 Devondale, Toronto, ON, M2R 2E2",Detached,,Finished,Stucco,,,,4+1,6.0,,61.75 x 120 FT,Attached garage,6.0,2.0,,,,,"$2,499,999"
347,"2 CHARLESTON RD, Toronto, Ontario, M9B 4M7",Detached,House,Finished,"Stone, Stucco",Yes,Freehold,Single Family,4+1,4.0,,40 x 140 FT,Garage,4.0,2.0,141.0,,,,"$1,879,000"
348,"21 Randall Cres, Toronto, ON, M1M 1N5",Detached,,,,,,,4+3,7.0,,,,4.0,2.0,,,,,"$1,849,900"
349,"127 Harewood Ave, Toronto, ON, M1M 2R6",Detached,,,,,,,4+3,7.0,,,,4.0,2.0,,,,,"$1,849,900"
350,"24 WINEVA AVE, Toronto, Ontario, M4E 2S9",Semi-Detached,House,,Brick,Yes,Freehold,Single Family,6+2,4.0,,21.72 x 124.02 FT,,4.0,2.0,135.04,Lane,,,"$1,799,999"
351,"54 CHESTER HILL RD, Toronto, Ontario, M4K 1X3",Detached,House,Finished,"Brick, Stucco",Yes,Freehold,Single Family,4,2.0,"Park, Public Transit, Schools",30 x 107.08 FT ; 1925 Sketch Of Survey In Fax Attachments,Detached garage,2.0,2.0,134.31,,,,"$1,799,000"
352,"17 RIVERCREST RD, Toronto, Ontario, M6S 4H4",Detached,House,Finished,"Aluminum siding, Brick",Yes,Freehold,Single Family,3+1,2.0,"Park, Public Transit, Schools",39.99 x 101.5 FT ; As Per Geowarehouse,Attached garage,3.0,2.0,111.37,Conservation/green belt,,,"$1,650,000"
353,"220 KEEWATIN AVE, Toronto, Ontario, M4P 1Z8",Duplex,Duplex,,Brick,,,Single Family,5+1,4.0,,20.34 x 110 FT,,1.0,2.0,78.61,,,,"$1,618,000"
354,"188 GREENFIELD AVE, Toronto, Ontario, M2N 3E3",Detached,House,Finished,Brick,,Freehold,Single Family,3+2,3.0,,35 x 120 FT,Attached garage,4.0,2.0,67.13,,,,"$1,598,000"
355,"85 STONEDENE BLVD, Toronto, Ontario, M2R 3C8",Detached,House,Finished,Brick,,Freehold,Single Family,3+1,3.0,"Park, Public Transit, Schools",45 x 120.77 FT ; 90Ft Wider Bck-Newly Decked:Irregular,Attached garage,8.0,2.0,,,,Community Centre,"$1,558,000"
356,"40 HAIG AVE, Toronto, Ontario, M1N 2W1",Detached,House,Finished,Brick,Yes,Freehold,Single Family,3+1,4.0,"Public Transit, Schools",25 x 92.42 FT,,2.0,2.0,114.34,,,,"$1,499,999"
357,"2763 KINGSTON RD, Toronto, Ontario, M1M 1M8",Detached,House,,Brick,,Freehold,Single Family,,2.0,"Park, Public Transit, Schools",91.87 x 112 FT,,4.0,,,,,,"$1,499,900"
358,"106 RANEE AVE, Toronto, Ontario, M6A 1N2",Detached,House,Finished,Stucco,Yes,Freehold,Single Family,4+2,4.0,"Hospital, Park, Public Transit, Schools",45 x 132 FT,Detached garage,5.0,1.0,,,,,"$1,398,000"
359,"18 EVANSTON DR, Toronto, Ontario, M3H 5P1",Detached,House,,Brick,,Freehold,Single Family,3+3,4.0,"Park, Public Transit, Schools",50 x 120.31 FT,Attached garage,5.0,1.0,87.60000000000002,Ravine,,Community Centre,"$1,338,000"
360,"89 TORRENS AVE, Toronto, Ontario, M4K 2H9",Detached,House,Finished,Brick,Yes,Freehold,Single Family,4+1,4.0,"Hospital, Park, Schools",25 x 150 FT,Garage,3.0,2.0,141.57999999999996,,,,"$1,299,800"
361,"163 AUGUST AVE, Toronto, Ontario, M1L 3N3",Detached,House,Finished,Stone,,Freehold,Single Family,3+1,4.0,,22.5 x 131 FT,Attached garage,4.0,2.0,126.77,,,,"$1,249,000"
362,"#TORONTO -617 THE QUEENSWAY AVE, Toronto, Ontario, M8Y 1K2",Detached,House,Finished,"Brick, Stone",Yes,Freehold,Single Family,2,2.0,"Park, Public Transit, Schools",45 x 88.5 FT,Attached garage,2.0,1.0,68.2,,,Community Centre,"$1,180,900"
363,"8 NEWINGTON CRES, Toronto, Ontario, M9C 5B8",Semi-Detached,House,Finished,"Brick, Vinyl",Yes,Freehold,Single Family,3+1,3.0,,28.17 x 90.22 FT,Attached garage,4.0,2.0,120.76,,,,"$1,149,900"
364,"677 BROCK  AVE, Toronto, Ontario, M6H 3P1",Detached,House,Finished,Brick,,Freehold,Single Family,4+1,3.0,,20 x 114 FT,,,2.0,83.71000000000002,,,,"$1,149,900"
365,"143 BORDEN ST, Toronto, Ontario, M5S 2N2",Townhouse,Row / Townhouse,Finished,Brick,,Freehold,Single Family,3+2,2.0,"Park, Public Transit, Schools",11.92 x 114 FT ; Wider At Back,Detached garage,1.0,2.0,,Lane,,,"$1,149,000"
366,"7 PIPESTONE PL, Toronto, Ontario, M9W 3V4",Detached,House,,"Brick, Stucco",Yes,Freehold,Single Family,4+1,4.0,,41.5 x 110 FT ; **With A Legal Basement Apartment **,Carport,6.0,2.0,,"Ravine, Conservation/green belt",,,"$1,099,999"
367,"89 NATAL AVE, Toronto, Ontario, M1N 3V7",Detached,House,Finished,"Stone, Stucco",,Freehold,Single Family,3+1,2.0,"Park, Public Transit",43.5 x 125 FT,Detached garage,4.0,2.0,93.5,,,,"$1,049,900"
368,"3 TAMORA CRT, Toronto, Ontario, M1S 1H5",Detached,House,Finished,"Brick, Vinyl",Yes,Freehold,Single Family,4,4.0,"Park, Public Transit, Schools",45 x 129.98 FT ; East Side 129.83,Attached garage,4.0,2.0,85.42000000000002,Cul-de-sac,,,"$1,039,800"
369,"427 FRIENDSHIP AVE, Toronto, Ontario, M1C 2X8",Detached,House,Finished,Stucco,Yes,Freehold,Single Family,3+2,3.0,"Park, Public Transit, Schools",67.4 x 135 FT ; Irregular,Attached garage,6.0,1.0,104.33,Ravine,,,"$999,900"
